Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2006-04-20,11342.8896484375,11384.1103515625,11275.0498046875,11278.5302734375,336420000
2006-04-21,11347.4501953125,11405.8798828125,11316.7900390625,11343.4501953125,325090000
2006-04-24,11336.3203125,11359.7001953125,11305.830078125,11346.8095703125,232000000
2006-04-25,11283.25,11355.3701171875,11260.83984375,11336.5595703125,289230000
2006-04-26,11354.490234375,11379.8701171875,11282.76953125,11283.25,270270000
2006-04-27,11382.509765625,11416.9296875,11275.2998046875,11349.5302734375,361740000
2006-04-28,11367.1396484375,11417.66015625,11347.2099609375,11358.330078125,738440000
2006-05-01,11343.2900390625,11428.3701171875,11329.4404296875,11367.7802734375,365970000
2006-05-02,11416.4501953125,11427.650390625,11345.1298828125,11345.2099609375,335420000
2006-05-03,11400.2802734375,11424.9296875,11362.419921875,11414.6904296875,380540000
2006-05-04,11438.8603515625,11463.1103515625,11401.7998046875,11401.7998046875,333940000
